Year,Economy,Economy Label,Gross Tonnage,Gross Tonnage Footnote,Gross Tonnage Missing value,Percentage of total all economies,Percentage of total all economies Footnote,Percentage of total all economies Missing value
2014,579,"Norway including Svalbard and Jan Mayen Islands",5297,,,0.02348,,
2014,926,"United Kingdom including Channel Islands and Isle of Man",4936,,,0.02188,,
2014,842,"United States of America including Puerto Rico and United States Virgin Islands",90875,,,0.40279,,
2014,5600,"Asia and Oceania",21892099,,,97.03412,,
2014,5702,"Northern America and Europe",180339,,,0.79933,,
2014,5706,"Europe, Northern America, Australia and New Zealand",180339,,,0.79933,,
2014,5703,"Central and Southern Asia",15489196,,,68.65401,,
2014,5704,"Eastern and South-Eastern Asia",5468043,,,24.23645,,
2014,5705,"Western Asia and Northern Africa",943945,,,4.18392,,
2014,1400,"Developing economies",21958294,,,97.32752,,
2014,1410,"Developing economies: Africa",32677,,,0.14484,,
2014,1420,"Developing economies: Americas",54303,,,0.24069,,
2014,1460,"Developing economies: Asia and Oceania",21871314,,,96.94199,,
2014,1430,"Developing economies: Asia",21871314,,,96.94199,,
2014,1500,"Developed economies",201124,,,0.89146,,
2014,1520,"Developed economies: Americas",113417,,,0.50271,,
2014,1560,"Developed economies: Asia and Oceania",20785,,,0.09213,,
2014,1530,"Developed economies: Asia",20785,,,0.09213,,
2014,1540,"Developed economies: Europe",66922,,,0.29662,,
2014,1600,"Developing economies excluding China",16617029,,,73.653,,
2014,1601,"Developing economies excluding LDCs",17537383,,,77.73236,,
2014,1610,"LDCs (Least developed countries)",4420911,,,19.59516,,
2014,1612,"LDCs: Asia",4420911,,,19.59516,,
2014,1640,"SIDS (Small island developing States) (UN-OHRLLS)",54303,,,0.24069,,
2014,1642,"SIDS: Caribbean",54303,,,0.24069,,
2014,2623,"Low-income developing economies",4140448,,,18.35204,,
2014,2622,"Middle-income developing economies",11487418,,,50.91661,,
2014,2621,"High-income developing economies",6330428,,,28.05887,,
2014,2711,"BRICS",12269102,,,54.38133,,
2014,3412,"European Union (2020 …)",61986,,,0.27475,,
2014,3916,"G20 (Group of Twenty)",13399931,,,59.3936,,
2014,3919,"G-77 (Group of 77)",21023243,,,93.18302,,
2014,3905,"OECD (Organisation for Economic Cooperation and Development)",1132257,,,5.01859,,
2015,0000,"World",23487269,,,100,,
2015,5100,"Africa",3869,,,0.01647,,
2015,5110,"Northern Africa",0,,,0,,
2015,5120,"Sub-Saharan Africa",3869,,,0.01647,,
2015,5124,"Western Africa",3869,,,0.01647,,
2015,5200,"Americas",40840,,,0.17388,,
2015,5210,"Northern America",21436,,,0.09127,,
2015,5220,"Latin America and the Caribbean",19404,,,0.08261,,
2015,5221,"Caribbean",9700,,,0.0413,,
2015,5222,"Central America",4462,,,0.019,,
2015,5223,"South America",5242,,,0.02232,,
2015,5300,"Asia",23128155,,,98.47103,,
2015,5330,"Eastern Asia",4495632,,,19.14072,,
2015,5350,"South-eastern Asia",55494,,,0.23627,,
2015,5320,"Southern Asia",17742364,,,75.54034,,
2015,5340,"Western Asia",834665,,,3.55369,,
2015,5400,"Europe",90743,,,0.38635,,
2015,5410,"Eastern Europe",885,,,0.00377,,
2015,5420,"Northern Europe",52077,,,0.22172,,
2015,5430,"Southern Europe",5913,,,0.02518,,
2015,5440,"Western Europe",31868,,,0.13568,,
2015,0000u,"World n.e.s.",222896,,,0.94901,,
2015,0001,"Individual economies",,,"Not applicable",,,"Not applicable"
2015,050,"Bangladesh",8064926,,,34.33744,,
2015,056,"Belgium",19330,,,0.0823,,
2015,076,"Brazil",787,,,0.00335,,
2015,124,"Canada",21436,,,0.09127,,
2015,156,"China",4492355,,,19.12677,,
2015,170,"Colombia",4455,,,0.01897,,
2015,192,"Cuba",0,,,0,,
2015,531,"Curaçao",1421,,,0.00605,,
2015,208,"Denmark",39249,,,0.16711,,
2015,214,"Dominican Republic",8279,,,0.03525,,
2015,818,"Egypt",0,,,0,,
2015,250,"France",2976,,,0.01267,,
2015,356,"India",5156337,,,21.95375,,
2015,360,"Indonesia",25605,,,0.10902,,
2015,392,"Japan",3277,,,0.01395,,
2015,428,"Latvia",0,,,0,,
2015,440,"Lithuania",0,,,0,,
2015,484,"Mexico",4462,,,0.019,,
2015,528,"Netherlands (Kingdom of the)",9562,,,0.04071,,
2015,566,"Nigeria",3869,,,0.01647,,
2015,586,"Pakistan",4521101,,,19.24916,,
2015,608,"Philippines",11003,,,0.04685,,
2015,620,"Portugal",0,,,0,,
2015,410,"Republic of Korea",0,,,0,,
2015,642,"Romania",0,,,0,,
2015,724,"Spain",5913,,,0.02518,,
2015,752,"Sweden",4166,,,0.01774,,
2015,792,"Türkiye",834665,,,3.55369,,
2015,804,"Ukraine",885,,,0.00377,,
2015,784,"United Arab Emirates",0,,,0,,
2015,826,"United Kingdom",8662,,,0.03688,,
2015,840,"United States",0,,,0,,
2015,704,"Viet Nam",18886,,,0.08041,,
2015,0002,"Special economies",,,"Not applicable",,,"Not applicable"
2015,251,"France including French Guiana, Guadeloupe, Martinique, Mayotte, Monaco and Reunion",2976,,,0.01267,,
2015,579,"Norway including Svalbard and Jan Mayen Islands",766,,,0.00326,,
2015,926,"United Kingdom including Channel Islands and Isle of Man",8662,,,0.03688,,
2015,842,"United States of America including Puerto Rico and United States Virgin Islands",0,,,0,,
2015,5600,"Asia and Oceania",23128155,,,98.47103,,
2015,5702,"Northern America and Europe",112179,,,0.47762,,
2015,5706,"Europe, Northern America, Australia and New Zealand",112179,,,0.47762,,
2015,5703,"Central and Southern Asia",17742364,,,75.54034,,
2015,5704,"Eastern and South-Eastern Asia",4551126,,,19.37699,,
2015,5705,"Western Asia and Northern Africa",834665,,,3.55369,,
2015,1400,"Developing economies",23148151,,,98.55616,,
2015,1410,"Developing economies: Africa",3869,,,0.01647,,
2015,1420,"Developing economies: Americas",19404,,,0.08261,,
2015,1460,"Developing economies: Asia and Oceania",23124878,,,98.45707,,
2015,1430,"Developing economies: Asia",23124878,,,98.45707,,
2015,1500,"Developed economies",115456,,,0.49157,,
2015,1520,"Developed economies: Americas",21436,,,0.09127,,
2015,1560,"Developed economies: Asia and Oceania",3277,,,0.01395,,
2015,1530,"Developed economies: Asia",3277,,,0.01395,,
2015,1540,"Developed economies: Europe",90743,,,0.38635,,
2015,1600,"Developing economies excluding China",18655796,,,79.4294,,
2015,1601,"Developing economies excluding LDCs",15083225,,,64.21873,,
2015,1610,"LDCs (Least developed countries)",8064926,,,34.33744,,
2015,1612,"LDCs: Asia",8064926,,,34.33744,,
2015,1640,"SIDS (Small island developing States) (UN-OHRLLS)",9700,,,0.0413,,
2015,1642,"SIDS: Caribbean",9700,,,0.0413,,
2015,2623,"Low-income developing economies",4521101,,,19.24916,,
2015,2622,"Middle-income developing economies",13280626,,,56.54393,,
2015,2621,"High-income developing economies",5346424,,,22.76307,,
2015,2711,"BRICS",9649479,,,41.08387,,
2015,3412,"European Union (2020 …)",81196,,,0.3457,,
2015,3916,"G20 (Group of Twenty)",10550562,,,44.92034,,
2015,3919,"G-77 (Group of 77)",22307603,,,94.97742,,
2015,3905,"OECD (Organisation for Economic Cooperation and Development)",958153,,,4.07946,,
2016,0000,"World",29402520,,,100,,
2016,5100,"Africa",5432,,,0.01847,,
2016,5110,"Northern Africa",0,,,0,,
2016,5120,"Sub-Saharan Africa",5432,,,0.01847,,
2016,5124,"Western Africa",5432,,,0.01847,,
2016,5200,"Americas",139860,,,0.47567,,
2016,5210,"Northern America",60547,,,0.20592,,
2016,5220,"Latin America and the Caribbean",79313,,,0.26975,,
2016,5221,"Caribbean",25796,,,0.08773,,
2016,5222,"Central America",37340,,,0.127,,
2016,5223,"South America",16177,,,0.05502,,
2016,5300,"Asia",29023395,,,98.71057,,
2016,5330,"Eastern Asia",3532415,,,12.01399,,
2016,5350,"South-eastern Asia",33778,,,0.11488,,
2016,5320,"Southern Asia",24477155,,,83.24849,,
2016,5340,"Western Asia",980047,,,3.33321,,
2016,5400,"Europe",69599,,,0.23671,,
2016,5410,"Eastern Europe",26756,,,0.091,,
2016,5420,"Northern Europe",14080,,,0.04789,,
2016,5430,"Southern Europe",980,,,0.00333,,
2016,5440,"Western Europe",27783,,,0.09449,,
2016,0000u,"World n.e.s.",157833,,,0.5368,,
2016,0001,"Individual economies",,,"Not applicable",,,"Not applicable"
2016,050,"Bangladesh",9484130,,,32.25618,,
2016,056,"Belgium",6642,,,0.02259,,
2016,076,"Brazil",16177,,,0.05502,,
2016,124,"Canada",28312,,,0.09629,,
2016,156,"China",3517762,,,11.96415,,
2016,170,"Colombia",0,,,0,,
2016,192,"Cuba",25796,,,0.08773,,
2016,531,"Curaçao",0,,,0,,
2016,208,"Denmark",10491,,,0.03568,,
2016,214,"Dominican Republic",0,,,0,,
2016,818,"Egypt",0,,,0,,
2016,250,"France",11775,,,0.04005,,
2016,276,"Germany",2541,,,0.00864,,
2016,356,"India",9482759,,,32.25152,,
2016,360,"Indonesia",33778,,,0.11488,,
2016,392,"Japan",5010,,,0.01704,,
2016,428,"Latvia",0,,,0,,
2016,440,"Lithuania",0,,,0,,
2016,484,"Mexico",37340,,,0.127,,
2016,528,"Netherlands (Kingdom of the)",6825,,,0.02321,,
2016,566,"Nigeria",5432,,,0.01847,,
2016,586,"Pakistan",5510266,,,18.7408,,
2016,608,"Philippines",0,,,0,,
2016,620,"Portugal",0,,,0,,
2016,410,"Republic of Korea",9643,,,0.0328,,
2016,642,"Romania",0,,,0,,
2016,643,"Russian Federation",26756,,,0.091,,
2016,724,"Spain",980,,,0.00333,,
2016,752,"Sweden",0,,,0,,
2016,792,"Türkiye",980047,,,3.33321,,
2016,804,"Ukraine",0,,,0,,
2016,784,"United Arab Emirates",0,,,0,,
2016,826,"United Kingdom",3589,,,0.01221,,
2016,840,"United States",32235,,,0.10963,,
2016,704,"Viet Nam",0,,,0,,
2016,0002,"Special economies",,,"Not applicable",,,"Not applicable"
2016,251,"France including French Guiana, Guadeloupe, Martinique, Mayotte, Monaco and Reunion",11775,,,0.04005,,
2016,579,"Norway including Svalbard and Jan Mayen Islands",6401,,,0.02177,,
2016,926,"United Kingdom including Channel Islands and Isle of Man",3589,,,0.01221,,
2016,842,"United States of America including Puerto Rico and United States Virgin Islands",32235,,,0.10963,,
2016,5600,"Asia and Oceania",29023395,,,98.71057,,
2016,5702,"Northern America and Europe",130146,,,0.44264,,
2016,5706,"Europe, Northern America, Australia and New Zealand",130146,,,0.44264,,
2016,5703,"Central and Southern Asia",24477155,,,83.24849,,
2016,5704,"Eastern and South-Eastern Asia",3566193,,,12.12887,,
2016,5705,"Western Asia and Northern Africa",980047,,,3.33321,,
2016,1400,"Developing economies",29093487,,,98.94896,,
2016,1410,"Developing economies: Africa",5432,,,0.01847,,
2016,1420,"Developing economies: Americas",79313,,,0.26975,,
2016,1460,"Developing economies: Asia and Oceania",29008742,,,98.66073,,
2016,1430,"Developing economies: Asia",29008742,,,98.66073,,
2016,1500,"Developed economies",144799,,,0.49247,,
2016,1520,"Developed economies: Americas",60547,,,0.20592,,
2016,1560,"Developed economies: Asia and Oceania",14653,,,0.04984,,
2016,1530,"Developed economies: Asia",14653,,,0.04984,,
2016,1540,"Developed economies: Europe",69599,,,0.23671,,
2016,1600,"Developing economies excluding China",25575725,,,86.98481,,
2016,1601,"Developing economies excluding LDCs",19609357,,,66.69278,,
2016,1610,"LDCs (Least developed countries)",9484130,,,32.25618,,
2016,1612,"LDCs: Asia",9484130,,,32.25618,,
2016,1640,"SIDS (Small island developing States) (UN-OHRLLS)",25796,,,0.08773,,
2016,1642,"SIDS: Caribbean",25796,,,0.08773,,
2016,2623,"Low-income developing economies",5510266,,,18.7408,,
2016,2622,"Middle-income developing economies",19006099,,,64.64105,,
2016,2621,"High-income developing economies",4577122,,,15.56711,,
2016,2711,"BRICS",13043454,,,44.36169,,
2016,3412,"European Union (2020 …)",39254,,,0.13351,,
2016,3916,"G20 (Group of Twenty)",14187724,,,48.25343,,
2016,3919,"G-77 (Group of 77)",28076100,,,95.48875,,
2016,3905,"OECD (Organisation for Economic Cooperation and Development)",1135430,,,3.86168,,
2017,0000,"World",23137868,,,100,,
2017,5100,"Africa",30044,,,0.12985,,
2017,5110,"Northern Africa",0,,,0,,
2017,5120,"Sub-Saharan Africa",30044,,,0.12985,,
2017,5124,"Western Africa",30044,,,0.12985,,
2017,5200,"Americas",145030,,,0.62681,,
2017,5210,"Northern America",116847,,,0.505,,
2017,5220,"Latin America and the Caribbean",28183,,,0.1218,,
2017,5221,"Caribbean",11401,,,0.04927,,
2017,5222,"Central America",0,,,0,,
2017,5223,"South America",16782,,,0.07253,,
2017,5300,"Asia",22759931,,,98.36659,,
2017,5330,"Eastern Asia",3780363,,,16.33842,,
2017,5350,"South-eastern Asia",47551,,,0.20551,,
2017,5320,"Southern Asia",17605870,,,76.09115,,
2017,5340,"Western Asia",1326147,,,5.7315,,
2017,5400,"Europe",72494,,,0.31331,,
2017,5410,"Eastern Europe",3386,,,0.01463,,
2017,5420,"Northern Europe",42791,,,0.18494,,
2017,5430,"Southern Europe",4963,,,0.02145,,
2017,5440,"Western Europe",21354,,,0.09229,,
2017,0000u,"World n.e.s.",128154,,,0.55387,,
2017,0001,"Individual economies",,,"Not applicable",,,"Not applicable"
2017,031,"Azerbaijan",742,,,0.00321,,
2017,050,"Bangladesh",6693292,,,28.92787,,
2017,056,"Belgium",12291,,,0.05312,,
2017,076,"Brazil",3999,,,0.01728,,
2017,124,"Canada",23114,,,0.0999,,
2017,156,"China",3776811,,,16.32307,,
2017,170,"Colombia",0,,,0,,
2017,192,"Cuba",11401,,,0.04927,,
2017,531,"Curaçao",0,,,0,,
2017,208,"Denmark",28486,,,0.12311,,
2017,214,"Dominican Republic",0,,,0,,
2017,218,"Ecuador",12783,,,0.05525,,
2017,818,"Egypt",0,,,0,,
2017,246,"Finland",710,,,0.00307,,
2017,250,"France",1467,,,0.00634,,
2017,276,"Germany",0,,,0,,
2017,356,"India",6776048,,,29.28553,,
2017,360,"Indonesia",36386,,,0.15726,,
2017,380,"Italy",3988,,,0.01724,,
2017,392,"Japan",749,,,0.00324,,
2017,428,"Latvia",11795,,,0.05098,,
2017,440,"Lithuania",1800,,,0.00778,,
2017,458,"Malaysia",8350,,,0.03609,,
2017,484,"Mexico",0,,,0,,
2017,528,"Netherlands (Kingdom of the)",7596,,,0.03283,,
2017,566,"Nigeria",30044,,,0.12985,,
2017,586,"Pakistan",4136530,,,17.87775,,
2017,608,"Philippines",2815,,,0.01217,,
2017,620,"Portugal",0,,,0,,
2017,410,"Republic of Korea",2803,,,0.01211,,
2017,642,"Romania",0,,,0,,
2017,643,"Russian Federation",870,,,0.00376,,
2017,724,"Spain",975,,,0.00421,,
2017,752,"Sweden",0,,,0,,
2017,792,"Türkiye",1325405,,,5.72829,,
2017,804,"Ukraine",2516,,,0.01087,,
2017,784,"United Arab Emirates",0,,,0,,
2017,826,"United Kingdom",0,,,0,,
2017,840,"United States",93733,,,0.40511,,
2017,704,"Viet Nam",0,,,0,,
2017,0002,"Special economies",,,"Not applicable",,,"Not applicable"
2017,251,"France including French Guiana, Guadeloupe, Martinique, Mayotte, Monaco and Reunion",1467,,,0.00634,,
2017,579,"Norway including Svalbard and Jan Mayen Islands",2215,,,0.00957,,
2017,926,"United Kingdom including Channel Islands and Isle of Man",0,,,0,,
2017,842,"United States of America including Puerto Rico and United States Virgin Islands",93733,,,0.40511,,
2017,5600,"Asia and Oceania",22759931,,,98.36659,,
2017,5702,"Northern America and Europe",189341,,,0.81832,,
2017,5706,"Europe, Northern America, Australia and New Zealand",189341,,,0.81832,,
2017,5703,"Central and Southern Asia",17605870,,,76.09115,,
2017,5704,"Eastern and South-Eastern Asia",3827914,,,16.54394,,
2017,5705,"Western Asia and Northern Africa",1326147,,,5.7315,,
2017,1400,"Developing economies",22814606,,,98.60289,,
2017,1410,"Developing economies: Africa",30044,,,0.12985,,
2017,1420,"Developing economies: Americas",28183,,,0.1218,,
2017,1460,"Developing economies: Asia and Oceania",22756379,,,98.35124,,
2017,1430,"Developing economies: Asia",22756379,,,98.35124,,
2017,1500,"Developed economies",192893,,,0.83367,,
2017,1520,"Developed economies: Americas",116847,,,0.505,,
2017,1560,"Developed economies: Asia and Oceania",3552,,,0.01535,,
2017,1530,"Developed economies: Asia",3552,,,0.01535,,
2017,1540,"Developed economies: Europe",72494,,,0.31331,,
2017,1600,"Developing economies excluding China",19037795,,,82.27982,,
2017,1601,"Developing economies excluding LDCs",16121314,,,69.67502,,
2017,1610,"LDCs (Least developed countries)",6693292,,,28.92787,,
2017,1612,"LDCs: Asia",6693292,,,28.92787,,
2017,1620,"LLDCs (Landlocked developing countries)",742,,,0.00321,,
2017,1640,"SIDS (Small island developing States) (UN-OHRLLS)",11401,,,0.04927,,
2017,1642,"SIDS: Caribbean",11401,,,0.04927,,
2017,2623,"Low-income developing economies",4136530,,,17.87775,,
2017,2622,"Middle-income developing economies",13539327,,,58.51588,,
2017,2621,"High-income developing economies",5138749,,,22.20926,,
2017,2711,"BRICS",10557728,,,45.62965,,
2017,3412,"European Union (2020 …)",69108,,,0.29868,,
2017,3916,"G20 (Group of Twenty)",12045373,,,52.05913,,
2017,3919,"G-77 (Group of 77)",21489201,,,92.87459,,
2017,3905,"OECD (Organisation for Economic Cooperation and Development)",1514912,,,6.54733,,
2018,0000,"World",18879156,,,100,,
2018,5100,"Africa",39778,,,0.2107,,
2018,5110,"Northern Africa",0,,,0,,
2018,5120,"Sub-Saharan Africa",39778,,,0.2107,,
2018,5124,"Western Africa",39778,,,0.2107,,
2018,5200,"Americas",144396,,,0.76484,,
2018,5210,"Northern America",99521,,,0.52715,,
2018,5220,"Latin America and the Caribbean",44875,,,0.2377,,
2018,5221,"Caribbean",5515,,,0.02921,,
2018,5222,"Central America",696,,,0.00369,,
2018,5223,"South America",38664,,,0.2048,,
2018,5300,"Asia",18505633,,,98.02151,,
2018,5330,"Eastern Asia",464780,,,2.46187,,
2018,5350,"South-eastern Asia",41328,,,0.21891,,
2018,5320,"Southern Asia",17216401,,,91.19264,,
2018,5340,"Western Asia",783124,,,4.14809,,
2018,5400,"Europe",91358,,,0.48391,,
2018,5410,"Eastern Europe",20081,,,0.10637,,
2018,5420,"Northern Europe",50499,,,0.26749,,
2018,5430,"Southern Europe",3598,,,0.01906,,
2018,5440,"Western Europe",17180,,,0.091,,
2018,5500,"Oceania",1953,,,0.01034,,
2018,0000u,"World n.e.s.",94099,,,0.49843,,
2018,0001,"Individual economies",,,"Not applicable",,,"Not applicable"
2018,036,"Australia",1433,,,0.00759,,
2018,031,"Azerbaijan",1000,,,0.0053,,
2018,050,"Bangladesh",8581104,,,45.45279,,
2018,056,"Belgium",15363,,,0.08138,,
2018,076,"Brazil",1398,,,0.0074,,
2018,124,"Canada",35632,,,0.18874,,
2018,156,"China",457740,,,2.42458,,
2018,170,"Colombia",0,,,0,,
2018,192,"Cuba",1579,,,0.00836,,
2018,531,"Curaçao",3936,,,0.02085,,
2018,208,"Denmark",16352,,,0.08661,,
2018,214,"Dominican Republic",0,,,0,,
2018,218,"Ecuador",37266,,,0.19739,,
2018,818,"Egypt",0,,,0,,
2018,233,"Estonia",17735,,,0.09394,,
2018,246,"Finland",0,,,0,,
2018,250,"France",1677,,,0.00888,,
2018,276,"Germany",140,,,0.00074,,
2018,356,"India",4649456,,,24.62746,,
2018,360,"Indonesia",39327,,,0.20831,,
2018,380,"Italy",0,,,0,,
2018,392,"Japan",4391,,,0.02326,,
2018,428,"Latvia",0,,,0,,
2018,440,"Lithuania",1729,,,0.00916,,
2018,458,"Malaysia",0,,,0,,
2018,484,"Mexico",696,,,0.00369,,
2018,528,"Netherlands (Kingdom of the)",0,,,0,,
2018,554,"New Zealand",520,,,0.00275,,
2018,566,"Nigeria",39778,,,0.2107,,
2018,586,"Pakistan",3985841,,,21.11239,,
2018,608,"Philippines",0,,,0,,
2018,616,"Poland",334,,,0.00177,,
2018,620,"Portugal",0,,,0,,
2018,410,"Republic of Korea",2649,,,0.01403,,
2018,642,"Romania",0,,,0,,
2018,643,"Russian Federation",19747,,,0.1046,,
2018,724,"Spain",3598,,,0.01906,,
2018,752,"Sweden",0,,,0,,
2018,792,"Türkiye",782124,,,4.14279,,
2018,804,"Ukraine",0,,,0,,
2018,784,"United Arab Emirates",0,,,0,,
2018,826,"United Kingdom",14683,,,0.07777,,
2018,840,"United States",63889,,,0.33841,,
2018,704,"Viet Nam",2001,,,0.0106,,
2018,0002,"Special economies",,,"Not applicable",,,"Not applicable"
2018,251,"France including French Guiana, Guadeloupe, Martinique, Mayotte, Monaco and Reunion",1677,,,0.00888,,
2018,579,"Norway including Svalbard and Jan Mayen Islands",1939,,,0.01027,,
2018,926,"United Kingdom including Channel Islands and Isle of Man",14683,,,0.07777,,
2018,842,"United States of America including Puerto Rico and United States Virgin Islands",63889,,,0.33841,,
2018,5600,"Asia and Oceania",18507586,,,98.03185,,
2018,5702,"Northern America and Europe",190879,,,1.01106,,
2018,5706,"Europe, Northern America, Australia and New Zealand",192832,,,1.0214,,
2018,5703,"Central and Southern Asia",17216401,,,91.19264,,
2018,5704,"Eastern and South-Eastern Asia",506108,,,2.68078,,
2018,5705,"Western Asia and Northern Africa",783124,,,4.14809,,
2018,1400,"Developing economies",18583246,,,98.43261,,
2018,1410,"Developing economies: Africa",39778,,,0.2107,,
2018,1420,"Developing economies: Americas",44875,,,0.2377,,
2018,1460,"Developing economies: Asia and Oceania",18498593,,,97.98422,,
2018,1430,"Developing economies: Asia",18498593,,,97.98422,,
2018,1500,"Developed economies",199872,,,1.05869,,
2018,1520,"Developed economies: Americas",99521,,,0.52715,,
2018,1560,"Developed economies: Asia and Oceania",8993,,,0.04763,,
2018,1530,"Developed economies: Asia",7040,,,0.03729,,
2018,1550,"Developed economies: Oceania",1953,,,0.01034,,
2018,1540,"Developed economies: Europe",91358,,,0.48391,,
2018,1600,"Developing economies excluding China",18125506,,,96.00803,,
2018,1601,"Developing economies excluding LDCs",10002142,,,52.97982,,
2018,1610,"LDCs (Least developed countries)",8581104,,,45.45279,,
2018,1612,"LDCs: Asia",8581104,,,45.45279,,
2018,1620,"LLDCs (Landlocked developing countries)",1000,,,0.0053,,
2018,1640,"SIDS (Small island developing States) (UN-OHRLLS)",5515,,,0.02921,,
2018,1642,"SIDS: Caribbean",5515,,,0.02921,,
2018,2623,"Low-income developing economies",3985841,,,21.11239,,
2018,2622,"Middle-income developing economies",13312666,,,70.51515,,
2018,2621,"High-income developing economies",1284739,,,6.80507,,
2018,2711,"BRICS",5128341,,,27.16404,,
2018,3412,"European Union (2020 …)",56928,,,0.30154,,
2018,3916,"G20 (Group of Twenty)",6074982,,,32.17825,,
2018,3919,"G-77 (Group of 77)",17796490,,,94.26528,,
2018,3905,"OECD (Organisation for Economic Cooperation and Development)",962945,,,5.10057,,
2019,0000,"World",12031309,,,100,,
2019,5100,"Africa",34423,,,0.28611,,
2019,5110,"Northern Africa",0,,,0,,
2019,5120,"Sub-Saharan Africa",34423,,,0.28611,,
2019,5124,"Western Africa",34423,,,0.28611,,
2019,5200,"Americas",83118,,,0.69085,,
2019,5210,"Northern America",71200,,,0.59179,,
2019,5220,"Latin America and the Caribbean",11918,,,0.09906,,
2019,5221,"Caribbean",1746,,,0.01451,,
2019,5222,"Central America",1986,,,0.01651,,
2019,5223,"South America",8186,,,0.06804,,
2019,5300,"Asia",11772224,,,97.84658,,
2019,5330,"Eastern Asia",351488,,,2.92144,,
2019,5350,"South-eastern Asia",20029,,,0.16647,,
2019,5320,"Southern Asia",10295555,,,85.57302,,
2019,5340,"Western Asia",1105152,,,9.18563,,
2019,5400,"Europe",35522,,,0.29525,,
2019,5410,"Eastern Europe",5970,,,0.04962,,
2019,5420,"Northern Europe",6284,,,0.05223,,
2019,5430,"Southern Europe",8667,,,0.07204,,
2019,5440,"Western Europe",14601,,,0.12136,,
2019,5500,"Oceania",0,,,0,,
2019,0000u,"World n.e.s.",101283,,,0.84183,,
2019,0001,"Individual economies",,,"Not applicable",,,"Not applicable"
2019,036,"Australia",0,,,0,,
2019,031,"Azerbaijan",1218,,,0.01012,,
2019,050,"Bangladesh",6662774,,,55.37863,,
2019,056,"Belgium",8089,,,0.06723,,
2019,076,"Brazil",3724,,,0.03095,,
2019,124,"Canada",6729,,,0.05593,,
2019,156,"China",343112,,,2.85183,,
2019,170,"Colombia",0,,,0,,
2019,192,"Cuba",1746,,,0.01451,,
2019,531,"Curaçao",0,,,0,,
2019,208,"Denmark",3838,,,0.0319,,
2019,214,"Dominican Republic",0,,,0,,
2019,218,"Ecuador",1782,,,0.01481,,
2019,818,"Egypt",0,,,0,,
2019,233,"Estonia",0,,,0,,
2019,246,"Finland",0,,,0,,
2019,250,"France",0,,,0,,
2019,276,"Germany",0,,,0,,
2019,300,"Greece",1731,,,0.01439,,
2019,356,"India",3302992,,,27.45331,,
2019,360,"Indonesia",13412,,,0.11148,,
2019,380,"Italy",0,,,0,,
2019,392,"Japan",1276,,,0.01061,,
2019,428,"Latvia",1167,,,0.0097,,
2019,440,"Lithuania",518,,,0.00431,,
2019,458,"Malaysia",0,,,0,,
2019,470,"Malta",1202,,,0.00999,,
